house ID,price,collected time,post code,address
{4C4EDFFF-3D38-1854-E050-A8C063054F34},197000,20/01/2017 00:00,E6 6FR,12    TRADER ROAD
{4C4EDFFF-3D39-1854-E050-A8C063054F34},393000,17/02/2017 00:00,N16 5RE,13B    LINTHORPE ROAD
{4C4EDFFF-3D3A-1854-E050-A8C063054F34},440000,17/03/2017 00:00,E15 4EY,32    WORLAND ROAD
{4C4EDFFF-3D3D-1854-E050-A8C063054F34},795000,17/03/2017 00:00,N6 5WA,"IMPERIAL COURT, 36  FLAT 10  SHEPHERDS HILL"
{4C4EDFFF-3D3F-1854-E050-A8C063054F34},490000,27/02/2017 00:00,E17 8NH,3    ROSEBANK ROAD
{4C4EDFFF-3D40-1854-E050-A8C063054F34},415000,03/03/2017 00:00,E12 5QP,180    LAWRENCE AVENUE
{4C4EDFFF-3D41-1854-E050-A8C063054F34},502000,03/03/2017 00:00,N16 6BB,87C    CAZENOVE ROAD
{4C4EDFFF-3D43-1854-E050-A8C063054F34},282500,01/03/2017 00:00,N10 1JZ,9    STRAWBERRY TERRACE
{4C4EDFFF-3D44-1854-E050-A8C063054F34},437000,03/03/2017 00:00,E14 9WA,QUAY VIEW APARTMENTS  FLAT 21  ARDEN CRESCENT
{4C4EDFFF-3D46-1854-E050-A8C063054F34},595000,16/02/2017 00:00,E1 5BD,"KEMPTON COURT, 2  FLAT 6-21  DURWARD STREET"
{4C4EDFFF-3D47-1854-E050-A8C063054F34},580000,16/03/2017 00:00,E17 8QG,122    BELGRAVE ROAD
{4C4EDFFF-3D4A-1854-E050-A8C063054F34},305000,14/02/2017 00:00,E12 5DB,172    CAPEL ROAD
{4C4EDFFF-3EBB-1854-E050-A8C063054F34},298000,20/01/2017 00:00,E17 4GE,"CANNOCK COURT, 3  FLAT 115  HAWKER PLACE"
{4C4EDFFF-3EBC-1854-E050-A8C063054F34},688250,03/03/2017 00:00,E2 7DF,"NICHOLAS HOUSE, 3  FLAT 11  OLD NICHOL STREET"
{4C4EDFFF-3EC1-1854-E050-A8C063054F34},162750,27/01/2017 00:00,E3 5EU,"EMERSON BUILDING, 3  FLAT 7  GLADSTONE PLACE"
{4C4EDFFF-3EC5-1854-E050-A8C063054F34},438250,27/02/2017 00:00,E10 6LH,152A    MORLEY ROAD
{4C4EDFFF-3ECA-1854-E050-A8C063054F34},197500,17/03/2017 00:00,E12 6JE,45    LANDSEER AVENUE
{4C4EDFFF-3ECC-1854-E050-A8C063054F34},280000,27/02/2017 00:00,E14 9GA,35  FLAT 13  SHERWOOD GARDENS
{4C4EDFFF-3ECF-1854-E050-A8C063054F34},130000,25/01/2017 00:00,E13 0NT,"THE POINT, 37  FLAT 22  PELLY ROAD"
{4C4EDFFF-3ED1-1854-E050-A8C063054F34},435000,23/03/2017 00:00,E11 2HG,1B    WELLESLEY ROAD
{4C4EDFFF-3ED2-1854-E050-A8C063054F34},880000,24/02/2017 00:00,E11 3BS,31    LEYBOURNE ROAD
{4C4EDFFF-3ED4-1854-E050-A8C063054F34},280000,15/03/2017 00:00,E7 8QE,40  FLAT A  CLIFTON ROAD
